service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Weekday  , S600,3024,600 - 35, 8:50   ,*South Bellevue Station,9859,1,East
Weekday  , S600,3024,600 - 35, 8:51   ,*South Bellevue Station,9859,2,East
Weekday  , S600,3024,600 - 35, 8:54   ,*East Main Station,9857,3,East
Weekday  , S600,3024,600 - 35, 8:57   ,*Bellevue Downtown Station,9855,4,East
Weekday  , S600,3024,600 - 35, 8:59   ,*Wilburton Station,9853,5,East
Weekday  , S600,3024,600 - 35, 9:00   ,*Spring District Station,9851,6,East
Weekday  , S600,3024,600 - 35, 9:02   ,*Bel-Red / 130th Station,9849,7,East
Weekday  , S600,3024,600 - 35, 9:06   ,*Overlake Village Station,9847,8,East
Weekday  , S600,3024,600 - 35, 9:08   ,*Redmond Tech Station,9845,9,East
Weekday  , S600,4052,600 - 32,13:35,*Redmond Tech Station,9844,1,West
Weekday  , S600,4052,600 - 32,13:36,*Redmond Tech Station,9844,2,West
Weekday  , S600,4052,600 - 32,13:38,*Overlake Village Station,9846,3,West
Weekday  , S600,4052,600 - 32,13:42,*Bel-Red / 130th Station,9848,4,West
Weekday  , S600,4052,600 - 32,13:44,*Spring District Station,9850,5,West
Weekday  , S600,4052,600 - 32,13:46,*Wilburton Station,9852,6,West
Weekday  , S600,4052,600 - 32,13:47,*Bellevue Downtown Station,9854,7,West
Weekday  , S600,4052,600 - 32,13:50,*East Main Station,9856,8,West
Weekday  , S600,4052,600 - 32,13:53,*South Bellevue Station,9859,9,West
Weekday  , S600,3016,600 - 31, 7:30   ,*South Bellevue Station,9859,1,East
Weekday  , S600,3016,600 - 31, 7:31   ,*South Bellevue Station,9859,2,East
Weekday  , S600,3016,600 - 31, 7:34   ,*East Main Station,9857,3,East
Weekday  , S600,3016,600 - 31, 7:37   ,*Bellevue Downtown Station,9855,4,East
Weekday  , S600,3016,600 - 31, 7:39   ,*Wilburton Station,9853,5,East
Weekday  , S600,3016,600 - 31, 7:40   ,*Spring District Station,9851,6,East
