service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Sunday   ,  512,   15071,   85003, 5:32   ,Everett Station,evtst,          1,South
Sunday   ,  512,   15071,   85003, 5:40   ,South Everett Freeway Station,sefs,          2,South
Sunday   ,  512,   15071,   85003, 5:48   ,Ash Way Park & Ride,awypr,          3,South
Sunday   ,  512,   15071,   85003, 5:55   ,Lynnwood Transit Center,lynntc,          4,South
Sunday   ,  512,   15071,   85003, 5:59   ,Mountlake Terrace Freeway Station,mltfs,          5,South
Sunday   ,  512,   15071,   85003, 6:02   ,I-5 & NE 195th St,195i5,          6,South
Sunday   ,  512,   15071,   85003, 6:07   ,I-5 & NE 117th St,117i5,          7,South
Sunday   ,  512,   15071,   85003, 6:13   ,Northgate Station,nortc,          8,South
Sunday   ,  512,   15001,   85017,24:12   ,Stadium Station,9977,          1,North
Sunday   ,  512,   15001,   85017,24:14   ,4thAv/Jacksn,4jack,          2,North
Sunday   ,  512,   15001,   85017,24:19   ,4th Ave & Pine St,4unio,          3,North
Sunday   ,  512,   15001,   85017,24:23   ,Olive Way & Boren Ave,olvtr,          4,North
Sunday   ,  512,   15001,   85017,24:28   ,NE 45th Freeway Station,45i5,          5,North
Sunday   ,  512,   15001,   85017,24:36   ,Northgate Station,nortc,          6,North
Sunday   ,  512,   15001,   85017,24:39   ,I-5 & NE 117th St,117i5,          7,North
Sunday   ,  512,   15001,   85017,24:42   ,I-5 & NE 195th St,195i5,          8,North
Sunday   ,  512,   15001,   85017,24:43   ,Mountlake Terrace Freeway Station,mltfs,          9,North
Sunday   ,  512,   15001,   85017,24:48   ,Lynnwood Transit Center,lynntc,         10,North
Sunday   ,  512,   15001,   85017,24:55   ,Ash Way Park & Ride,awypr,         11,North
Sunday   ,  512,   15001,   85017,25:03   ,South Everett Freeway Station,sefs,         12,North
Sunday   ,  512,   15001,   85017,25:18   ,Everett Station,evtst,         13,North
Sunday   ,  512,   15070,   85002, 5:08   ,Everett Station,evtst,          1,South
Sunday   ,  512,   15070,   85002, 5:16   ,South Everett Freeway Station,sefs,          2,South
Sunday   ,  512,   15070,   85002, 5:24   ,Ash Way Park & Ride,awypr,          3,South
Sunday   ,  512,   15070,   85002, 5:31   ,Lynnwood Transit Center,lynntc,          4,South
Sunday   ,  512,   15070,   85002, 5:35   ,Mountlake Terrace Freeway Station,mltfs,          5,South
Sunday   ,  512,   15070,   85002, 5:38   ,I-5 & NE 195th St,195i5,          6,South
Sunday   ,  512,   15070,   85002, 5:43   ,I-5 & NE 117th St,117i5,          7,South
Sunday   ,  512,   15070,   85002, 5:49   ,Northgate Station,nortc,          8,South
Sunday   ,  512,   15067,   85014,23:29   ,Northgate Station,nortc,          1,North
Sunday   ,  512,   15067,   85014,23:32   ,I-5 & NE 117th St,117i5,          2,North
Sunday   ,  512,   15067,   85014,23:35   ,I-5 & NE 195th St,195i5,          3,North
Sunday   ,  512,   15067,   85014,23:36   ,Mountlake Terrace Freeway Station,mltfs,          4,North
Sunday   ,  512,   15067,   85014,23:41   ,Lynnwood Transit Center,lynntc,          5,North
Sunday   ,  512,   15067,   85014,23:48   ,Ash Way Park & Ride,awypr,          6,North
