service_id;route_id;trip_id;block_id;sch_arr_time;stop_name;stop_id;stop_seq;direction_name
Sunday   ;  512;   15072;   85004; 5:57   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15072;   85004; 6:05   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15072;   85004; 6:12   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15072;   85004; 6:19   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15072;   85004; 6:23   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15072;   85004; 6:27   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15072;   85004; 6:31   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15072;   85004; 6:37   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15070;   85002; 5:10   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15070;   85002; 5:18   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15070;   85002; 5:25   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15070;   85002; 5:32   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15070;   85002; 5:36   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15070;   85002; 5:39   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15070;   85002; 5:43   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15070;   85002; 5:49   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15074;   85002; 6:45   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15074;   85002; 6:53   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15074;   85002; 7:00   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15074;   85002; 7:07   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15074;   85002; 7:11   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15074;   85002; 7:15   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15074;   85002; 7:19   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15074;   85002; 7:25   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15076;   85005; 7:27   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15076;   85005; 7:35   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15076;   85005; 7:42   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15076;   85005; 7:49   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15076;   85005; 7:53   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15076;   85005; 7:57   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15076;   85005; 8:01   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15076;   85005; 8:07   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15071;   85003; 5:33   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15071;   85003; 5:41   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15071;   85003; 5:48   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15071;   85003; 5:55   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15071;   85003; 5:59   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15071;   85003; 6:03   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15071;   85003; 6:07   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15071;   85003; 6:13   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15075;   85003; 7:07   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15075;   85003; 7:15   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15075;   85003; 7:22   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15075;   85003; 7:29   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15075;   85003; 7:33   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15075;   85003; 7:37   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15075;   85003; 7:41   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15075;   85003; 7:47   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15077;   85004; 7:47   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15077;   85004; 7:55   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15077;   85004; 8:02   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15077;   85004; 8:09   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15077;   85004; 8:13   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15077;   85004; 8:17   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15077;   85004; 8:21   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15077;   85004; 8:27   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15073;   85001; 6:21   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15073;   85001; 6:29   ;South Everett Freeway Station;sefs;          2;South
Sunday   ;  512;   15073;   85001; 6:36   ;Ash Way Park & Ride;awypr;          3;South
Sunday   ;  512;   15073;   85001; 6:43   ;Lynnwood Transit Center;lynntc;          4;South
Sunday   ;  512;   15073;   85001; 6:47   ;Mountlake Terrace Freeway Station;mltfs;          5;South
Sunday   ;  512;   15073;   85001; 6:51   ;I-5 & NE 195th St;195i5;          6;South
Sunday   ;  512;   15073;   85001; 6:55   ;I-5 & NE 117th St;117i5;          7;South
Sunday   ;  512;   15073;   85001; 7:01   ;Northgate Station;nortc;          8;South
Sunday   ;  512;   15078;   85001; 8:07   ;Everett Station;evtst;          1;South
Sunday   ;  512;   15078;   85001; 8:15   ;South Everett Freeway Station;sefs;          2;South
