Saturday ,,351,600 - 31, 5:05   ,East Link Base,,92015
Saturday ,,351,600 - 31, 5:07   ,Wilburton Station,,99561
Saturday , S600,3007,600 - 31, 6:05   ,Redmond Technology Station,West,99568
Saturday , S600,3007,600 - 31, 6:07   ,Overlake Village Station,West,99567
Saturday , S600,3007,600 - 31, 6:12   ,BelRed Station,West,99565
Saturday , S600,3007,600 - 31, 6:14   ,Spring District Station,West,99563
Saturday , S600,3007,600 - 31, 6:16   ,Wilburton Station,West,99561
Saturday , S600,3007,600 - 31, 6:18   ,Bellevue Downtown Station,West,99559
Saturday , S600,3007,600 - 31, 6:22   ,East Main Station,West,99557
Saturday , S600,3007,600 - 31, 6:25   ,South Bellevue Station,West,99554
Saturday , S600,3013,600 - 31, 7:05   ,Redmond Technology Station,West,99568
Saturday , S600,3013,600 - 31, 7:07   ,Overlake Village Station,West,99567
Saturday , S600,3013,600 - 31, 7:12   ,BelRed Station,West,99565
Saturday , S600,3013,600 - 31, 7:14   ,Spring District Station,West,99563
Saturday , S600,3013,600 - 31, 7:16   ,Wilburton Station,West,99561
Saturday , S600,3013,600 - 31, 7:18   ,Bellevue Downtown Station,West,99559
Saturday , S600,3013,600 - 31, 7:22   ,East Main Station,West,99557
Saturday , S600,3013,600 - 31, 7:25   ,South Bellevue Station,West,99554
Saturday , S600,3019,600 - 31, 8:05   ,Redmond Technology Station,West,99568
Saturday , S600,3019,600 - 31, 8:07   ,Overlake Village Station,West,99567
Saturday , S600,3019,600 - 31, 8:12   ,BelRed Station,West,99565
Saturday , S600,3019,600 - 31, 8:14   ,Spring District Station,West,99563
Saturday , S600,3019,600 - 31, 8:16   ,Wilburton Station,West,99561
Saturday , S600,3019,600 - 31, 8:18   ,Bellevue Downtown Station,West,99559
Saturday , S600,3019,600 - 31, 8:22   ,East Main Station,West,99557
Saturday , S600,3019,600 - 31, 8:25   ,South Bellevue Station,West,99554
Saturday , S600,3025,600 - 31, 9:05   ,Redmond Technology Station,West,99568
Saturday , S600,3025,600 - 31, 9:07   ,Overlake Village Station,West,99567
Saturday , S600,3025,600 - 31, 9:12   ,BelRed Station,West,99565
Saturday , S600,3025,600 - 31, 9:14   ,Spring District Station,West,99563
Saturday , S600,3025,600 - 31, 9:16   ,Wilburton Station,West,99561
Saturday , S600,3025,600 - 31, 9:18   ,Bellevue Downtown Station,West,99559
Saturday , S600,3025,600 - 31, 9:22   ,East Main Station,West,99557
Saturday , S600,3025,600 - 31, 9:25   ,South Bellevue Station,West,99554
Saturday , S600,3031,600 - 31,10:05,Redmond Technology Station,West,99568
Saturday , S600,3031,600 - 31,10:07,Overlake Village Station,West,99567
Saturday , S600,3031,600 - 31,10:12,BelRed Station,West,99565
Saturday , S600,3031,600 - 31,10:14,Spring District Station,West,99563
Saturday , S600,3031,600 - 31,10:16,Wilburton Station,West,99561
Saturday , S600,3031,600 - 31,10:18,Bellevue Downtown Station,West,99559
Saturday , S600,3031,600 - 31,10:22,East Main Station,West,99557
Saturday , S600,3031,600 - 31,10:25,South Bellevue Station,West,99554
Saturday , S600,3037,600 - 31,11:05,Redmond Technology Station,West,99568
Saturday , S600,3037,600 - 31,11:07,Overlake Village Station,West,99567
Saturday , S600,3037,600 - 31,11:12,BelRed Station,West,99565
Saturday , S600,3037,600 - 31,11:14,Spring District Station,West,99563
Saturday , S600,3037,600 - 31,11:16,Wilburton Station,West,99561
Saturday , S600,3037,600 - 31,11:18,Bellevue Downtown Station,West,99559
Saturday , S600,3037,600 - 31,11:22,East Main Station,West,99557
Saturday , S600,3037,600 - 31,11:25,South Bellevue Station,West,99554
Saturday , S600,3043,600 - 31,12:05,Redmond Technology Station,West,99568
Saturday , S600,3043,600 - 31,12:07,Overlake Village Station,West,99567
Saturday , S600,3043,600 - 31,12:12,BelRed Station,West,99565
Saturday , S600,3043,600 - 31,12:14,Spring District Station,West,99563
Saturday , S600,3043,600 - 31,12:16,Wilburton Station,West,99561
Saturday , S600,3043,600 - 31,12:18,Bellevue Downtown Station,West,99559
Saturday , S600,3043,600 - 31,12:22,East Main Station,West,99557
Saturday , S600,3043,600 - 31,12:25,South Bellevue Station,West,99554
Saturday , S600,3049,600 - 31,13:05,Redmond Technology Station,West,99568
Saturday , S600,3049,600 - 31,13:07,Overlake Village Station,West,99567
Saturday , S600,3049,600 - 31,13:12,BelRed Station,West,99565
Saturday , S600,3049,600 - 31,13:14,Spring District Station,West,99563
Saturday , S600,3049,600 - 31,13:16,Wilburton Station,West,99561
Saturday , S600,3049,600 - 31,13:18,Bellevue Downtown Station,West,99559
Saturday , S600,3049,600 - 31,13:22,East Main Station,West,99557
Saturday , S600,3049,600 - 31,13:25,South Bellevue Station,West,99554
Saturday , S600,3055,600 - 31,14:05,Redmond Technology Station,West,99568
Saturday , S600,3055,600 - 31,14:07,Overlake Village Station,West,99567
Saturday , S600,3055,600 - 31,14:12,BelRed Station,West,99565
Saturday , S600,3055,600 - 31,14:14,Spring District Station,West,99563
Saturday , S600,3055,600 - 31,14:16,Wilburton Station,West,99561
Saturday , S600,3055,600 - 31,14:18,Bellevue Downtown Station,West,99559
Saturday , S600,3055,600 - 31,14:22,East Main Station,West,99557
Saturday , S600,3055,600 - 31,14:25,South Bellevue Station,West,99554
Saturday , S600,3061,600 - 31,15:05,Redmond Technology Station,West,99568
Saturday , S600,3061,600 - 31,15:07,Overlake Village Station,West,99567
Saturday , S600,3061,600 - 31,15:12,BelRed Station,West,99565
Saturday , S600,3061,600 - 31,15:14,Spring District Station,West,99563
Saturday , S600,3061,600 - 31,15:16,Wilburton Station,West,99561
Saturday , S600,3061,600 - 31,15:18,Bellevue Downtown Station,West,99559
Saturday , S600,3061,600 - 31,15:22,East Main Station,West,99557
Saturday , S600,3061,600 - 31,15:25,South Bellevue Station,West,99554
Saturday , S600,3067,600 - 31,16:05,Redmond Technology Station,West,99568
Saturday , S600,3067,600 - 31,16:07,Overlake Village Station,West,99567
Saturday , S600,3067,600 - 31,16:12,BelRed Station,West,99565
Saturday , S600,3067,600 - 31,16:14,Spring District Station,West,99563
Saturday , S600,3067,600 - 31,16:16,Wilburton Station,West,99561
Saturday , S600,3067,600 - 31,16:18,Bellevue Downtown Station,West,99559
Saturday , S600,3067,600 - 31,16:22,East Main Station,West,99557
Saturday , S600,3067,600 - 31,16:25,South Bellevue Station,West,99554
Saturday , S600,3073,600 - 31,17:05,Redmond Technology Station,West,99568
Saturday , S600,3073,600 - 31,17:07,Overlake Village Station,West,99567
Saturday , S600,3073,600 - 31,17:12,BelRed Station,West,99565
Saturday , S600,3073,600 - 31,17:14,Spring District Station,West,99563
Saturday , S600,3073,600 - 31,17:16,Wilburton Station,West,99561
Saturday , S600,3073,600 - 31,17:18,Bellevue Downtown Station,West,99559
Saturday , S600,3073,600 - 31,17:22,East Main Station,West,99557
Saturday , S600,3073,600 - 31,17:25,South Bellevue Station,West,99554
Saturday , S600,3079,600 - 31,18:05,Redmond Technology Station,West,99568
Saturday , S600,3079,600 - 31,18:07,Overlake Village Station,West,99567
Saturday , S600,3079,600 - 31,18:12,BelRed Station,West,99565
Saturday , S600,3079,600 - 31,18:14,Spring District Station,West,99563
Saturday , S600,3079,600 - 31,18:16,Wilburton Station,West,99561
Saturday , S600,3079,600 - 31,18:18,Bellevue Downtown Station,West,99559
Saturday , S600,3079,600 - 31,18:22,East Main Station,West,99557
Saturday , S600,3079,600 - 31,18:25,South Bellevue Station,West,99554
Saturday , S600,3085,600 - 31,19:05,Redmond Technology Station,West,99568
Saturday , S600,3085,600 - 31,19:07,Overlake Village Station,West,99567
Saturday , S600,3085,600 - 31,19:12,BelRed Station,West,99565
Saturday , S600,3085,600 - 31,19:14,Spring District Station,West,99563
Saturday , S600,3085,600 - 31,19:16,Wilburton Station,West,99561
Saturday , S600,3085,600 - 31,19:18,Bellevue Downtown Station,West,99559
Saturday , S600,3085,600 - 31,19:22,East Main Station,West,99557
Saturday , S600,3085,600 - 31,19:25,South Bellevue Station,West,99554
Saturday , S600,3091,600 - 31,20:05,Redmond Technology Station,West,99568
Saturday , S600,3091,600 - 31,20:07,Overlake Village Station,West,99567
Saturday , S600,3091,600 - 31,20:12,BelRed Station,West,99565
Saturday , S600,3091,600 - 31,20:14,Spring District Station,West,99563
Saturday , S600,3091,600 - 31,20:16,Wilburton Station,West,99561
Saturday , S600,3091,600 - 31,20:18,Bellevue Downtown Station,West,99559
Saturday , S600,3091,600 - 31,20:22,East Main Station,West,99557
Saturday , S600,3091,600 - 31,20:25,South Bellevue Station,West,99554
Saturday , S600,3097,600 - 31,21:05,Redmond Technology Station,West,99568
Saturday , S600,3097,600 - 31,21:07,Overlake Village Station,West,99567
Saturday , S600,3097,600 - 31,21:12,BelRed Station,West,99565
Saturday , S600,3097,600 - 31,21:14,Spring District Station,West,99563
Saturday , S600,3097,600 - 31,21:16,Wilburton Station,West,99561
Saturday , S600,3097,600 - 31,21:18,Bellevue Downtown Station,West,99559
Saturday , S600,3097,600 - 31,21:22,East Main Station,West,99557
Saturday , S600,3097,600 - 31,21:25,South Bellevue Station,West,99554
Saturday , S600,303,600 - 31,21:59,Redmond Technology Station,West,99568
Saturday , S600,303,600 - 31,22:01,Overlake Village Station,West,99567
Saturday , S600,303,600 - 31,22:06,BelRed Station,West,99565
Saturday , S600,303,600 - 31,22:08,Spring District Station,West,99563
Saturday ,,356,600 - 31,22:08,Spring District Station,,99563
Saturday ,,356,600 - 31,22:10,East Link Base,,92015
Saturday , S600,3001,600 - 31, 5:07   ,Wilburton Station,West,99561
Saturday , S600,3001,600 - 31, 5:11   ,Bellevue Downtown Station,West,99559
Saturday , S600,3001,600 - 31, 5:19   ,East Main Station,West,99557
Saturday , S600,3001,600 - 31, 5:25   ,South Bellevue Station,West,99554
Saturday , S600,4003,600 - 31, 5:32   ,South Bellevue Station,East,99554
Saturday , S600,4003,600 - 31, 5:36   ,East Main Station,East,99556
Saturday , S600,4003,600 - 31, 5:39   ,Bellevue Downtown Station,East,99558
Saturday , S600,4003,600 - 31, 5:41   ,Wilburton Station,East,99560
Saturday , S600,4003,600 - 31, 5:43   ,Spring District Station,East,99562
Saturday , S600,4003,600 - 31, 5:45   ,BelRed Station,East,99564
Saturday , S600,4003,600 - 31, 5:49   ,Overlake Village Station,East,99566
Saturday , S600,4003,600 - 31, 5:52   ,Redmond Technology Station,East,99568
Saturday , S600,4010,600 - 31, 6:32   ,South Bellevue Station,East,99554
Saturday , S600,4010,600 - 31, 6:36   ,East Main Station,East,99556
Saturday , S600,4010,600 - 31, 6:39   ,Bellevue Downtown Station,East,99558
Saturday , S600,4010,600 - 31, 6:41   ,Wilburton Station,East,99560
Saturday , S600,4010,600 - 31, 6:43   ,Spring District Station,East,99562
Saturday , S600,4010,600 - 31, 6:45   ,BelRed Station,East,99564
Saturday , S600,4010,600 - 31, 6:49   ,Overlake Village Station,East,99566
Saturday , S600,4010,600 - 31, 6:52   ,Redmond Technology Station,East,99568
Saturday , S600,4016,600 - 31, 7:32   ,South Bellevue Station,East,99554
Saturday , S600,4016,600 - 31, 7:36   ,East Main Station,East,99556
Saturday , S600,4016,600 - 31, 7:39   ,Bellevue Downtown Station,East,99558
Saturday , S600,4016,600 - 31, 7:41   ,Wilburton Station,East,99560
Saturday , S600,4016,600 - 31, 7:43   ,Spring District Station,East,99562
Saturday , S600,4016,600 - 31, 7:45   ,BelRed Station,East,99564
Saturday , S600,4016,600 - 31, 7:49   ,Overlake Village Station,East,99566
Saturday , S600,4016,600 - 31, 7:52   ,Redmond Technology Station,East,99568
Saturday , S600,4022,600 - 31, 8:32   ,South Bellevue Station,East,99554
Saturday , S600,4022,600 - 31, 8:36   ,East Main Station,East,99556
Saturday , S600,4022,600 - 31, 8:39   ,Bellevue Downtown Station,East,99558
Saturday , S600,4022,600 - 31, 8:41   ,Wilburton Station,East,99560
Saturday , S600,4022,600 - 31, 8:43   ,Spring District Station,East,99562
Saturday , S600,4022,600 - 31, 8:45   ,BelRed Station,East,99564
Saturday , S600,4022,600 - 31, 8:49   ,Overlake Village Station,East,99566
Saturday , S600,4022,600 - 31, 8:52   ,Redmond Technology Station,East,99568
Saturday , S600,4028,600 - 31, 9:32   ,South Bellevue Station,East,99554
Saturday , S600,4028,600 - 31, 9:36   ,East Main Station,East,99556
Saturday , S600,4028,600 - 31, 9:39   ,Bellevue Downtown Station,East,99558
Saturday , S600,4028,600 - 31, 9:41   ,Wilburton Station,East,99560
Saturday , S600,4028,600 - 31, 9:43   ,Spring District Station,East,99562
Saturday , S600,4028,600 - 31, 9:45   ,BelRed Station,East,99564
Saturday , S600,4028,600 - 31, 9:49   ,Overlake Village Station,East,99566
Saturday , S600,4028,600 - 31, 9:52   ,Redmond Technology Station,East,99568
Saturday , S600,4034,600 - 31,10:32,South Bellevue Station,East,99554
Saturday , S600,4034,600 - 31,10:36,East Main Station,East,99556
Saturday , S600,4034,600 - 31,10:39,Bellevue Downtown Station,East,99558
Saturday , S600,4034,600 - 31,10:41,Wilburton Station,East,99560
Saturday , S600,4034,600 - 31,10:43,Spring District Station,East,99562
Saturday , S600,4034,600 - 31,10:45,BelRed Station,East,99564
Saturday , S600,4034,600 - 31,10:49,Overlake Village Station,East,99566
Saturday , S600,4034,600 - 31,10:52,Redmond Technology Station,East,99568
Saturday , S600,4040,600 - 31,11:32,South Bellevue Station,East,99554
Saturday , S600,4040,600 - 31,11:36,East Main Station,East,99556
Saturday , S600,4040,600 - 31,11:39,Bellevue Downtown Station,East,99558
Saturday , S600,4040,600 - 31,11:41,Wilburton Station,East,99560
Saturday , S600,4040,600 - 31,11:43,Spring District Station,East,99562
Saturday , S600,4040,600 - 31,11:45,BelRed Station,East,99564
Saturday , S600,4040,600 - 31,11:49,Overlake Village Station,East,99566
Saturday , S600,4040,600 - 31,11:52,Redmond Technology Station,East,99568
Saturday , S600,4046,600 - 31,12:32,South Bellevue Station,East,99554
Saturday , S600,4046,600 - 31,12:36,East Main Station,East,99556
Saturday , S600,4046,600 - 31,12:39,Bellevue Downtown Station,East,99558
Saturday , S600,4046,600 - 31,12:41,Wilburton Station,East,99560
Saturday , S600,4046,600 - 31,12:43,Spring District Station,East,99562
Saturday , S600,4046,600 - 31,12:45,BelRed Station,East,99564
Saturday , S600,4046,600 - 31,12:49,Overlake Village Station,East,99566
Saturday , S600,4046,600 - 31,12:52,Redmond Technology Station,East,99568
Saturday , S600,4052,600 - 31,13:32,South Bellevue Station,East,99554
Saturday , S600,4052,600 - 31,13:36,East Main Station,East,99556
Saturday , S600,4052,600 - 31,13:39,Bellevue Downtown Station,East,99558
Saturday , S600,4052,600 - 31,13:41,Wilburton Station,East,99560
Saturday , S600,4052,600 - 31,13:43,Spring District Station,East,99562
Saturday , S600,4052,600 - 31,13:45,BelRed Station,East,99564
Saturday , S600,4052,600 - 31,13:49,Overlake Village Station,East,99566
