service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Saturday ,560,6101,16004,5:15,25th/Barton,25Bart,1,East
Saturday ,560,6101,16004,5:31,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6101,16004,5:39,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6101,16004,5:58,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6101,16004,6:07,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6101,16004,6:10,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6101,16004,6:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6102,16007,6:15,25th/Barton,25Bart,1,East
Saturday ,560,6102,16007,6:31,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6102,16007,6:39,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6102,16007,6:58,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6102,16007,7:07,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6102,16007,7:10,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6102,16007,7:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6103,16006,7:13,25th/Barton,25Bart,1,East
Saturday ,560,6103,16006,7:30,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6103,16006,7:38,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6103,16006,7:57,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6103,16006,8:07,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6103,16006,8:10,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6103,16006,8:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6104,16004,8:12,25th/Barton,25Bart,1,East
Saturday ,560,6104,16004,8:29,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6104,16004,8:37,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6104,16004,8:56,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6104,16004,9:06,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6104,16004,9:09,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6104,16004,9:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6105,16007,9:10,25th/Barton,25Bart,1,East
Saturday ,560,6105,16007,9:27,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6105,16007,9:35,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6105,16007,9:55,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6105,16007,10:06,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6105,16007,10:09,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6105,16007,10:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6106,16006,10:07,25th/Barton,25Bart,1,East
Saturday ,560,6106,16006,10:24,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6106,16006,10:33,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6106,16006,10:53,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6106,16006,11:04,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6106,16006,11:08,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6106,16006,11:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6107,16004,11:05,25th/Barton,25Bart,1,East
Saturday ,560,6107,16004,11:22,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6107,16004,11:31,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6107,16004,11:52,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6107,16004,12:04,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6107,16004,12:08,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6107,16004,12:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6108,16007,12:03,25th/Barton,25Bart,1,East
Saturday ,560,6108,16007,12:21,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6108,16007,12:30,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6108,16007,12:52,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6108,16007,13:04,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6108,16007,13:08,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6108,16007,13:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6109,16025,13:02,25th/Barton,25Bart,1,East
Saturday ,560,6109,16025,13:20,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6109,16025,13:29,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6109,16025,13:52,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6109,16025,14:04,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6109,16025,14:08,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6109,16025,14:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6110,16006,14:00,25th/Barton,25Bart,1,East
Saturday ,560,6110,16006,14:18,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6110,16006,14:27,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6110,16006,14:52,Renton TC - Bay 1,Rent1,4,East
Saturday ,560,6110,16006,15:04,I-405 Ramp/N 30 St EB,40530E,5,East
Saturday ,560,6110,16006,15:08,Newport Hills P&R,NPHPR,6,East
Saturday ,560,6110,16006,15:17,Bellevue TC - Bay 7,Belv7,7,East
Saturday ,560,6111,16004,15:00,25th/Barton,25Bart,1,East
Saturday ,560,6111,16004,15:18,Burien TC-Bay 6,BurTC6,2,East
Saturday ,560,6111,16004,15:27,SeaTac Airport Terminal Bay,seatac,3,East
Saturday ,560,6111,16004,15:52,Renton TC - Bay 1,Rent1,4,East
