service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Saturday ,  560,    6137,   16036,22,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6137,   16036,22,52   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6137,   16036,22,55   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6137,   16036,23,05   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6137,   16036,23,21   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6137,   16036,23,36   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6137,   16036,23,53   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6102,   16007, 6,15   ,25th/Barton,25Bart,          1,East
Saturday ,  560,    6102,   16007, 6,31   ,Burien TC-Bay 6,BurTC6,          2,East
Saturday ,  560,    6102,   16007, 6,39   ,SeaTac Airport Terminal Bay,seatac,          3,East
Saturday ,  560,    6102,   16007, 6,58   ,Renton TC - Bay 1,Rent1,          4,East
Saturday ,  560,    6102,   16007, 7,07   ,I-405 Ramp/N 30 St EB,40530E,          5,East
Saturday ,  560,    6102,   16007, 7,10   ,Newport Hills P&R,NPHPR,          6,East
Saturday ,  560,    6102,   16007, 7,17   ,Bellevue TC - Bay 7,Belv7,          7,East
Saturday ,  560,    6133,   16027,18,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6133,   16027,18,54   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6133,   16027,18,57   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6133,   16027,19,12   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6133,   16027,19,28   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6133,   16027,19,45   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6133,   16027,20,02   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6131,   16033,16,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6131,   16033,16,56   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6131,   16033,17,01   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6131,   16033,17,17   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6131,   16033,17,33   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6131,   16033,17,50   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6131,   16033,18,07   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6134,   16036,19,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6134,   16036,19,53   ,Newport Hills P&R,NPHPR,          2,West
Saturday ,  560,    6134,   16036,19,56   ,I-405 Ramp/N 30 St,40530,          3,West
Saturday ,  560,    6134,   16036,20,09   ,Renton TC - Bay 4,Rent4,          4,West
Saturday ,  560,    6134,   16036,20,25   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6134,   16036,20,41   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6134,   16036,20,58   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  560,    6135,   16033,20,47   ,Bellevue TC - Bay 6,Belv6,          1,West
Saturday ,  560,    6135,   16033,20,52   ,Newport Hills P&R,NPHPR,          2,West
