service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Sunday   ,,  115599,   17032,19:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115599,   17032,19:20   ,,110NE3,          2,
Sunday   ,,  115601,   17032,20:58   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115601,   17032,21:01   ,25th/Barton,25Bart,          2,
Sunday   ,,  115609,   17015,11:07   ,Eastlake/Thomas,easlk,          1,
Sunday   ,,  115609,   17015,11:12   ,Stewart and Yale,stwyal,          2,
Sunday   ,,  115579,   17004,12:44   ,,110NE3,          1,
Sunday   ,,  115579,   17004,12:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115602,   17032,22:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115602,   17032,22:20   ,,110NE3,          2,
Sunday   ,,  115578,   17004,12:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115578,   17004,12:20   ,,110NE3,          2,
Sunday   ,,  115619,   17007, 7:44   ,,110NE3,          1,
Sunday   ,,  115619,   17007, 7:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115615,   17015,22:38   ,Eastlake/Thomas,easlk,          1,
Sunday   ,,  115615,   17015,22:42   ,Stewart and Yale,stwyal,          2,
Sunday   ,,  115576,   17004, 9:44   ,,110NE3,          1,
Sunday   ,,  115576,   17004, 9:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115622,   17007,10:44   ,,110NE3,          1,
Sunday   ,,  115622,   17007,10:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115621,   17007,10:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115621,   17007,10:20   ,,110NE3,          2,
Sunday   ,,  115603,   17032,22:44   ,,110NE3,          1,
Sunday   ,,  115603,   17032,22:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115608,   17015,10:21   ,Eastlake/Stewart,eastst,          1,
Sunday   ,,  115608,   17015,10:25   ,Eastlake/Thomas,easlk,          2,
Sunday   ,,  115611,   17015,15:07   ,Eastlake/Thomas,easlk,          1,
Sunday   ,,  115611,   17015,15:12   ,Stewart and Yale,stwyal,          2,
Sunday   ,,  115590,   17005, 8:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115590,   17005, 8:20   ,,110NE3,          2,
Sunday   ,,  115624,   17024,14:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115624,   17024,14:20   ,,110NE3,          2,
Sunday   ,,  115586,   17028,21:57   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115586,   17028,22:00   ,25th/Barton,25Bart,          2,
Sunday   ,,  115613,   17015,19:09   ,Eastlake/Thomas,easlk,          1,
Sunday   ,,  115613,   17015,19:12   ,Stewart and Yale,stwyal,          2,
Sunday   ,,  115583,   17028,18:07   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115583,   17028,18:10   ,25th/Barton,25Bart,          2,
Sunday   ,,  115585,   17028,20:44   ,,110NE3,          1,
Sunday   ,,  115585,   17028,20:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115596,   17020,15:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115596,   17020,15:20   ,,110NE3,          2,
Sunday   ,,  115600,   17032,19:44   ,,110NE3,          1,
Sunday   ,,  115600,   17032,19:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115606,   17006, 6:23   ,Eastlake/Stewart,eastst,          1,
Sunday   ,,  115606,   17006, 6:27   ,Eastlake/Thomas,easlk,          2,
Sunday   ,,  115592,   17005, 9:53   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115592,   17005, 9:56   ,25th/Barton,25Bart,          2,
Sunday   ,,  115589,   17005, 6:49   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115589,   17005, 6:52   ,25th/Barton,25Bart,          2,
Sunday   ,,  115595,   17020,13:04   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115595,   17020,13:07   ,25th/Barton,25Bart,          2,
Sunday   ,,  115607,   17006, 6:39   ,Eastlake/Thomas,easlk,          1,
Sunday   ,,  115607,   17006, 6:42   ,Stewart and Yale,stwyal,          2,
Sunday   ,,  115610,   17015,14:21   ,Eastlake/Stewart,eastst,          1,
Sunday   ,,  115610,   17015,14:25   ,Eastlake/Thomas,easlk,          2,
Sunday   ,,  115612,   17015,18:21   ,Eastlake/Stewart,eastst,          1,
Sunday   ,,  115612,   17015,18:25   ,Eastlake/Thomas,easlk,          2,
Sunday   ,,  115618,   17007, 7:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115618,   17007, 7:20   ,,110NE3,          2,
Sunday   ,,  115577,   17004,10:55   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115577,   17004,10:58   ,25th/Barton,25Bart,          2,
Sunday   ,,  115614,   17015,22:23   ,Eastlake/Stewart,eastst,          1,
Sunday   ,,  115614,   17015,22:27   ,Eastlake/Thomas,easlk,          2,
Sunday   ,,  115584,   17028,20:17   ,Bellevue TC - Bay 7,Belv7,          1,
Sunday   ,,  115584,   17028,20:20   ,,110NE3,          2,
Sunday   ,,  115620,   17007, 8:52   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115620,   17007, 8:55   ,25th/Barton,25Bart,          2,
Sunday   ,,  115580,   17004,14:06   ,Westwood Village Bay 2,26Bart,          1,
Sunday   ,,  115580,   17004,14:09   ,25th/Barton,25Bart,          2,
Sunday   ,,  115597,   17020,15:44   ,,110NE3,          1,
Sunday   ,,  115597,   17020,15:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,,  115591,   17005, 8:44   ,,110NE3,          1,
Sunday   ,,  115591,   17005, 8:47   ,Bellevue TC - Bay 6,Belv6,          2,
Sunday   ,  574,    8445,   17002,14:33   ,ST Link Station - SeaTac,StLink,          1,South
Sunday   ,  574,    8445,   17002,14:40   ,SeaTac Airport Terminal Bay,seatac,          2,South
Sunday   ,  574,    8445,   17002,14:52   ,Kent/DesMoines Fwy Station,kende2,          3,South
Sunday   ,  574,    8445,   17002,14:55   ,Star Lake Fwy Station SB,starl2,          4,South
Sunday   ,  574,    8445,   17002,15:01   ,Federal Way TC - Bay 5,FedW5,          5,South
Sunday   ,  574,    8445,   17002,15:15   ,Tacoma Dome Zone H,tdsH,          6,South
Sunday   ,  574,    8445,   17002,15:29   ,SR512 P&R Zone H,sr512H,          7,South
Sunday   ,  574,    8445,   17002,15:38   ,Lakewood Mall TC Zone M,lmtcM,          8,South
Sunday   ,  574,    8413,   17019,10:38   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Sunday   ,  574,    8413,   17019,10:49   ,SR512 P&R Zone F,sr512F,          2,North
Sunday   ,  574,    8413,   17019,11:02   ,Tacoma Dome Station Zone A,tdsA,          3,North
Sunday   ,  574,    8413,   17019,11:17   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Sunday   ,  574,    8413,   17019,11:24   ,Star Lake Fwy Station NB,starlk,          5,North
Sunday   ,  574,    8413,   17019,11:28   ,Kent/DesMoines Fwy Station,kendem,          6,North
Sunday   ,  574,    8413,   17019,11:39   ,ST Link Station - SeaTac,StLink,          7,North
Sunday   ,  574,    8413,   17019,11:44   ,SeaTac Airport Terminal Bay,seatac,          8,North
Sunday   ,  574,    8412,   17018,10:08   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Sunday   ,  574,    8412,   17018,10:19   ,SR512 P&R Zone F,sr512F,          2,North
Sunday   ,  574,    8412,   17018,10:32   ,Tacoma Dome Station Zone A,tdsA,          3,North
Sunday   ,  574,    8412,   17018,10:47   ,Federal Way TC - Bay 8,Fdwprd,          4,North
